No,제목,학과,과정,년도,href,BERT_SCORE
21,University of Maastricht,경영학전공,학부,2004,/partner/expReport.asp?id=1288&page=9&bgbn=R,0
20,University of Maastricht,경영학전공,학부,2003-2004,/partner/expReport.asp?id=1263&page=9&bgbn=R,0
19,University of Maastricht,신문방송학과,학부,2003,/partner/expReport.asp?id=1261&page=9&bgbn=R,0
18,나의 마스트리트,경영학전공,학부,2003-2004,/partner/expReport.asp?id=1256&page=9&bgbn=R,1
17,Maastricht 생활記,경영학전공,학부,2004,/partner/expReport.asp?id=1232&page=10&bgbn=R,0
16,마스트리트대학 교환 후기,경영학전공,학부,2004,/partner/expReport.asp?id=1230&page=10&bgbn=R,0
15,Maastricht University - 실용학문의 전당,상경계열,학부,2004,/partner/expReport.asp?id=1220&page=10&bgbn=R,0
14,Maastricht 생활 후기,경영학전공,학부,2003,/partner/expReport.asp?id=1211&page=10&bgbn=R,0
13,"Universiteit Maastricht (UM,)",경제학전공,학부,2004,/partner/expReport.asp?id=1177&page=10&bgbn=R,1
12,The University of Maastricht,상경계열,학부,2002,/partner/expReport.asp?id=1136&page=10&bgbn=R,1
11,마스트리트를 다녀와서,상경계열,학부,2003,/partner/expReport.asp?id=1133&page=10&bgbn=R,0
10,나의 마스트리트 체험기,경영학전공,학부,2003,/partner/expReport.asp?id=1125&page=10&bgbn=R,1
9,Mass에서 주의해야 할 것들..,경영학전공,학부,2002,/partner/expReport.asp?id=1124&page=10&bgbn=R,1
8,Universiteit Maastricht,경영학전공,학부,2003,/partner/expReport.asp?id=1078&page=10&bgbn=R,1
7,Univ. Maastricht,경영학전공,학부,2003,/partner/expReport.asp?id=955&page=11&bgbn=R,1
6,univ. Maastricht,경영학전공,학부,2003,/partner/expReport.asp?id=951&page=11&bgbn=R,1
5,University of Maastricht,상경계열,학부,2003,/partner/expReport.asp?id=947&page=11&bgbn=R,0
4,University of Maastricht 경험 보고서,교육학과,학부,2003,/partner/expReport.asp?id=946&page=11&bgbn=R,1
3,Uni Maas,상경계열,학부,2003,/partner/expReport.asp?id=945&page=11&bgbn=R,1
2,University of Maasticht,경영학전공,학부,2003,/partner/expReport.asp?id=942&page=11&bgbn=R,0
1,U of Maastricht - 이정민,심리학전공,학부,2002,/partner/expReport.asp?id=666&page=11&bgbn=R,1
