No,제목,학과,과정,년도,href,BERT_SCORE
31,꿈만 같았던 한 학기,문화인류학과,학부,2013,/partner/expReport.asp?id=6877&page=3&bgbn=R,0
30,Linnaeus(Vaxjo) University 교환학생,전기전자공학,학부,2013,/partner/expReport.asp?id=6845&page=3&bgbn=R,0
29,인생의 터닝포인트,생활디자인학과,학부,2012-2013,/partner/expReport.asp?id=6819&page=3&bgbn=R,1
28,교환학생 경험보고서,철학,학부,2013,/partner/expReport.asp?id=6768&page=3&bgbn=R,0
27,아름다운 나라 스웨덴에서의 교환학생 생활 :),영어영문학과,학부,2011,/partner/expReport.asp?id=6754&page=3&bgbn=R,1
26,linnaeus univ 교환학생 경험보고서,식품영양학과,학부,2013,/partner/expReport.asp?id=6672&page=3&bgbn=R,1
25,"1년짜리 꿈을 꾸고 온, Linnaeus Univ.",생활디자인,학부,2012-2013,/partner/expReport.asp?id=6517&page=3&bgbn=R,1
24,멋진 인연들로 가득한 Linneaus University로 오세요!:D,사회복지학과,학부,2012,/partner/expReport.asp?id=6240&page=4&bgbn=R,1
23,교환학생파견보고서,도시공학과,학부,2011,/partner/expReport.asp?id=5963&page=4&bgbn=R,1
22,Vaxjo University 파견보고서,전기전자공학,학부,2011,/partner/expReport.asp?id=5433&page=4&bgbn=R,1
21,스웨덴에서 잊을 수 없는 시간들.,심리학과,학부,2011,/partner/expReport.asp?id=5420&page=4&bgbn=R,1
20,눈부시게 아름다웠던 스웨덴의 설경 1년 동안,문화인류학/심리학과,학부,2010-2011,/partner/expReport.asp?id=5412&page=4&bgbn=R,1
19,교환학생 경험보고서,국어국문학과,학부,2011,/partner/expReport.asp?id=5393&page=4&bgbn=R,0
18,교환학생 방문기,경제학부,학부,2010-2011,/partner/expReport.asp?id=5064&page=4&bgbn=R,0
17,vaxjo university 경험보고서,영어영문학과,학부,2010,/partner/expReport.asp?id=4752&page=4&bgbn=R,0
16,경험보고서,행정,학부,2010,/partner/expReport.asp?id=4744&page=4&bgbn=R,0
15,교환학생 경험보고서-Linnaeus(Vaxjo) University,주거환경학과,학부,2010,/partner/expReport.asp?id=4732&page=4&bgbn=R,1
14,어느 것도 잃지 않는 여유를 배우다,국어국문학과,학부,2009,/partner/expReport.asp?id=4053&page=5&bgbn=R,1
13,지루하거나 혹은 다이나믹하거나,행정/경영,학부,2008-2009,/partner/expReport.asp?id=3930&page=5&bgbn=R,0
12,교환학생 경험보고서,생활디자인학과,학부,2009,/partner/expReport.asp?id=3803&page=5&bgbn=R,0
11,"나를 다시 발견한 1년,",교육/영문학과,학부,2008-2009,/partner/expReport.asp?id=3794&page=5&bgbn=R,1
10,내사랑 Vaxjo♥,경영학과,학부,2008,/partner/expReport.asp?id=3671&page=5&bgbn=R,1
9,"대학시절 가장 아름다운 순간이 있던, Vaxjo",신문방송학과,학부,2008,/partner/expReport.asp?id=3625&page=5&bgbn=R,1
8,Vaxjo 교환학생 생활,천문우주학과,학부,2008,/partner/expReport.asp?id=3454&page=5&bgbn=R,0
7,"다른 세상을 꿈꿀 수 있게 한 나라, 스웨덴",교육학과,학부,2008-2009,/partner/expReport.asp?id=3444&page=5&bgbn=R,1
6,"호수의 도시, Vaxjo에서의 1년",사회학과,학부,2007,/partner/expReport.asp?id=3276&page=5&bgbn=R,0
5,친절한 사람들의 나라,문과대학 사학과,학부,2007,/partner/expReport.asp?id=2980&page=5&bgbn=R,1
4,여기서 26시간 기차를 타면 오로라를 볼수 있어,교육학과,학부,2006,/partner/expReport.asp?id=2482&page=6&bgbn=R,0
3,지구의 반대편 끝-스웨덴,생활디자인,학부,2006,/partner/expReport.asp?id=2460&page=6&bgbn=R,1
2,친절한 사람들과 여유로운 생활을 Vaxjo,신문방송학과,학부,2006,/partner/expReport.asp?id=2216&page=6&bgbn=R,1
1,파견 보고서,심리학과,학부,2006,/partner/expReport.asp?id=2154&page=6&bgbn=R,1
